"Id"|"FileName"|"Title"|"Artist"|"Year"|"Country"|"Style"|"Link"
1|"1.jpg"| "The Great Wave off Kanagawa"|"Katsushika Hokusai"|1831|"Japanese"|"Ukiyo-e"|"https://en.wikipedia.org/wiki/The_Great_Wave_off_Kanagawa"
2|"2.jpg"|"The Starry Night"|"Vincent van Gogh"|1889|"Dutch"|"Post-Impressionism"|"https://en.wikipedia.org/wiki/The_Starry_Night"
3|"3.jpg"|"Impression, Sunrise"|"Claude Monet"|1872|"French"|"Impressionism"|"https://en.wikipedia.org/wiki/Impression,_Sunrise"
4|"4.jpg"|"Wild Poppies, near Argenteuil"|"Claude Monet"|1873|"French"|"Impressionism"|"https://www.wikiart.org/en/claude-monet/wild-poppies-near-argenteuil-1873"
5|"5.jpg"|"Harlequin"|"Pablo Picasso"|1918|"Spanish"|"Cubism"|"https://www.wikiart.org/en/pablo-picasso/harlequin-1918"
6|"6.jpg"|"Violin and candlestick"|"George Braque"|1910|"French"|"Analytical Cubism"|"https://www.wikiart.org/en/georges-braque/violin-and-candlestick-1910"
7|"7.jpg"|"Jew in Green"|"Marc Chagall"|1914|"Belarusian"|"Cubism"|"https://www.wikiart.org/en/marc-chagall/jew-in-green-1914"
8|"8.jpg"|"Basket of Apples"|"Paul Cezanne"|1895|"French"|"Post-Impressionism"|"https://www.wikiart.org/en/paul-cezanne/still-life-with-bottle-and-apple-basket-1894"
9|"9.jpg"|"The Burning Giraffe"|"Salvador Dali"|1937|"Spanish"|"Surrealism"|"https://www.wikiart.org/en/salvador-dali/flaming-giraffe"
10|"10.jpg"|"The Big Wheel"|"Marc Chagall"|1912|"Belarusian"|"Surrealism"|"https://www.wikiart.org/en/marc-chagall/the-big-wheel"
